participant_id,condition,language,current_phase,donation_decision,donation_config,transparency1,transparency2,control1,control2,risk_traceability,risk_misuse,trust1,attention_check,age,gender,primary_language,education,eligible_to_vote_ch,open_feedback
1,B,de-DE,complete,1.0,,6.0,6.0,6.0,6.0,2.0,2.0,2.0,voting,35-44,female,de,applied-sciences,not-eligible,
2,C,de-DE,complete,1.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",5.0,5.0,5.0,4.0,5.0,5.0,2.0,voting,45-54,prefer-not-say,de,university,not-eligible,
3,D,de-DE,complete,1.0,"{'scope': 'questions-only', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,4.0,6.0,5.0,1.0,4.0,6.0,voting,45-54,male,de,university,eligible,Unterstütze die Informationsbeschaffung zu Abstimmungen
4,A,de,complete,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,4.0,voting,35-44,female,de,university,not-eligible,
5,D,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",2.0,3.0,6.0,6.0,1.0,2.0,4.0,voting,45-54,male,de,university,eligible,
6,A,de-DE,chatbot,,,,,,,,,,,,,,,,
7,C,de-DE,chatbot,,,,,,,,,,,,,,,,
8,B,de,complete,1.0,,6.0,5.0,4.0,4.0,3.0,2.0,6.0,voting,35-44,male,de,university,eligible,
9,A,en-GB,chatbot,,,,,,,,,,,,,,,,
10,D,en-US,chatbot,,,,,,,,,,,,,,,,
11,B,de-DE,chatbot,,,,,,,,,,,,,,,,
12,C,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,4.0,4.0,6.0,2.0,1.0,6.0,voting,35-44,male,de,university,eligible,
13,B,de-DE,complete,1.0,,6.0,6.0,2.0,6.0,1.0,1.0,6.0,voting,55-64,male,de,applied-sciences,eligible,Datenspende hilft der Forschung und am Ende uns allen!
14,A,de,complete,1.0,,5.0,5.0,6.0,6.0,1.0,1.0,4.0,voting,45-54,male,de,university,eligible,"Nützts nüt, so schads nüt."
